gene,source
LOX,CellAge
LOXL2,CellAge
LPAR1,CellAge
LPAR3,CellAge
LRRK2,CellAge
LY6D,CellAge
MAD1L1,CellAge
MAD2L1,CellAge
MAEL,CellAge
MAF,CellAge
MAGEA2,CellAge
MAGOHB,CellAge
MAP2K1,CellAge
MAP2K2,CellAge
MAP2K3,CellAge
MAP2K6,CellAge
MAP2K7,CellAge
MAP3K14,CellAge
MAP3K5,CellAge
MAP3K6,CellAge
MAP3K7,CellAge
MAP4K1,CellAge
MAPK1,CellAge
MAPK12,CellAge
MAPK14,CellAge
MAPK9,CellAge
MAPKAPK5,CellAge
MARCHF5,CellAge
MARCKS,CellAge
MAST1,CellAge
MATK,CellAge
MAVS,CellAge
MCAM,CellAge
MCL1,CellAge
MCM3AP,CellAge
MCM7,CellAge
MCRS1,CellAge
MCU,CellAge
MDC1,CellAge
MDH1,CellAge
MDK,CellAge
MDM2,CellAge
MDP1,CellAge
ME1,CellAge
ME2,CellAge
MECP2,CellAge
MED12,CellAge
MEF2A,CellAge
MEIS2,CellAge
MEN1,CellAge
MEOX1,CellAge
MET,CellAge
METTL14,CellAge
MIF,CellAge
MINK1,CellAge
MITF,CellAge
MKRN1,CellAge
MME,CellAge
MMP7,CellAge
MMP9,CellAge
MNX1,CellAge
MOB3A,CellAge
MORC3,CellAge
MORF4L1,CellAge
MOS,CellAge
MRTFA,CellAge
MRTFB,CellAge
MSN,CellAge
MST1,CellAge
MT1G,CellAge
MTDH,CellAge
MTHFD2,CellAge
MTOR,CellAge
MUC4,CellAge
MUS81,CellAge
MVK,CellAge
MVP,CellAge
MXD4,CellAge
MYBBP1A,CellAge
MYBL2,CellAge
MYC,CellAge
MYCN,CellAge
MYD88,CellAge
MYLK,CellAge
NACC1,CellAge
NADK,CellAge
NAMPT,CellAge
NANOG,CellAge
NBN,CellAge
NBR1,CellAge
NCAPG2,CellAge
NCAPH2,CellAge
NDRG1,CellAge
NDST2,CellAge
NEDD4,CellAge
NEK1,CellAge
NEK2,CellAge
