gene,confidence_level,lifespan_extending,lifespan_reducing,lifespan_effect,criteria_count
GHRHR,highest,True,False,PRO,3
CTNNB1,low,False,False,UNKNOWN,4
PSEN1,low,False,False,UNKNOWN,4
CDKN2A,high,True,False,PRO,3
PPP1CA,low,False,True,ANTI,4
DBN1,low,False,False,UNKNOWN,2
NOG,lowest,False,False,UNKNOWN,1
ELN,low,False,False,UNKNOWN,4
ATR,moderate,True,True,ANTI,5
UCP3,moderate,True,True,MIXED,6
ZMPSTE24,low,False,True,ANTI,5
TP63,low,False,True,ANTI,3
UCP2,highest,True,False,PRO,7
POLB,low,False,False,UNKNOWN,3
GCLC,moderate,True,True,PRO,6
GCLM,moderate,True,False,PRO,4
SIRT6,highest,True,True,PRO,9
BUB3,moderate,True,False,MIXED,2
RAE1,lowest,False,True,ANTI,2
PMCH,lowest,False,False,UNKNOWN,2
MLH1,low,False,False,UNKNOWN,2
CSNK1E,high,True,True,PRO,2
STUB1,moderate,True,True,ANTI,3
PPM1D,low,False,True,ANTI,5
PCK1,high,True,True,PRO,6
ARHGAP1,low,False,True,ANTI,3
CDC42,high,True,False,PRO,3
BMAL1,lowest,False,True,ANTI,2
CLOCK,lowest,False,True,ANTI,3
HIC1,lowest,False,False,UNKNOWN,2
PAPPA,highest,True,False,PRO,5
ADCY5,high,True,False,PRO,2
PPARGC1A,moderate,True,True,PRO,8
GPX4,high,True,False,MIXED,4
UCP1,highest,True,False,PRO,5
FGF23,lowest,False,False,UNKNOWN,3
EFEMP1,low,False,True,ANTI,5
ERCC4,moderate,True,True,PRO,6
CETP,lowest,False,False,UNKNOWN,1
PPARG,highest,True,True,MIXED,7
AGTR1,highest,True,False,PRO,4
CISD2,high,True,True,ANTI,5
EEF1E1,low,False,True,ANTI,5
EPS8,high,True,True,PRO,7
KCNA3,high,True,False,PRO,2
SIRT7,low,False,True,ANTI,8
SLC13A1,high,True,True,PRO,5
SOCS2,low,False,True,ANTI,5
TPP2,low,False,True,ANTI,4
TP53BP1,low,False,True,ANTI,3
SIRT3,low,False,True,ANTI,7
NCOR2,low,False,True,ANTI,4
SUN1,lowest,False,False,UNKNOWN,1
BAK1,lowest,False,False,UNKNOWN,1
IGFBP2,high,True,False,NEUTRAL,3
PYCR1,lowest,False,True,ANTI,2
TP73,low,False,True,ANTI,4
CNR1,low,False,False,UNKNOWN,2
NFE2L2,low,False,False,UNKNOWN,4
CDKN1A,low,False,False,UNKNOWN,4
PDGFRA,lowest,False,False,UNKNOWN,2
PIK3CA,high,True,True,PRO,4
C1QA,lowest,False,False,UNKNOWN,2
CDKN2B,low,False,False,UNKNOWN,3
EIF5A2,low,True,True,ANTI,3
MIF,high,True,False,PRO,5
DGAT1,high,True,False,PRO,2
MT1E,high,True,False,PRO,2
FGF21,high,True,False,PRO,3
HTRA2,low,False,True,ANTI,3
GSK3A,moderate,True,True,ANTI,6
NUDT1,high,True,False,PRO,3
IKBKB,high,True,True,MIXED,5
SQSTM1,moderate,True,True,PRO,7
CDK7,lowest,False,True,ANTI,2
GRN,high,True,True,ANTI,5
SERPINE1,low,False,False,UNKNOWN,2
SPRTN,lowest,False,False,UNKNOWN,1
RICTOR,moderate,True,True,PRO,4
CTF1,high,True,False,PRO,3
TRAP1,lowest,False,False,UNKNOWN,2
TRPV1,high,True,False,PRO,5
NFE2L1,moderate,True,True,ANTI,3
GDF11,moderate,True,True,PRO,8
ACE2,moderate,True,False,PRO,3
NAMPT,lowest,False,False,UNKNOWN,1
ALB,high,True,False,PRO,4
PLAGL1,lowest,False,False,UNKNOWN,1
GADD45A,lowest,False,False,UNKNOWN,1
DDIT4,lowest,False,False,UNKNOWN,3
PERP,lowest,False,False,UNKNOWN,1
DUSP10,moderate,True,False,PRO,2
MT-RNR1,low,False,False,UNKNOWN,3
IFNAR1,lowest,False,False,UNKNOWN,1
HPGD,low,False,False,UNKNOWN,3
CASP1,low,False,False,UNKNOWN,2
IFNG,lowest,False,False,UNKNOWN,3
BCL2L2,moderate,True,False,PRO,3
IL15,low,False,False,UNKNOWN,3
IL15RA,lowest,False,False,UNKNOWN,1
TGFBR1,moderate,True,True,PRO,4
COL2A1,low,False,False,UNKNOWN,4
ADIPOQ,low,False,False,UNKNOWN,3
NLRP3,high,True,False,PRO,3
B3GAT1,lowest,False,False,UNKNOWN,1
TJP2,lowest,False,False,UNKNOWN,1
RALB,lowest,False,False,UNKNOWN,2
ME3,low,False,False,UNKNOWN,3
CPNE1,lowest,False,False,UNKNOWN,1
SCN3A,lowest,False,False,UNKNOWN,1
RGS20,lowest,False,False,UNKNOWN,1
C1QB,lowest,False,False,UNKNOWN,2
BEX3,lowest,False,False,UNKNOWN,1
CAPG,lowest,False,False,UNKNOWN,1
NIPSNAP1,low,False,False,UNKNOWN,3
ZFAND2A,lowest,False,True,ANTI,2
ELMO1,lowest,False,False,UNKNOWN,1
DLK2,lowest,False,False,UNKNOWN,1
BCL6,lowest,False,False,UNKNOWN,1
ZC3HAV1,lowest,False,False,UNKNOWN,1
ABI2,lowest,False,False,UNKNOWN,3
ADAMTS20,moderate,True,False,PRO,3
TUBB6,moderate,True,False,PRO,4
LAIR1,lowest,False,False,UNKNOWN,3
ZFYVE9,lowest,False,False,UNKNOWN,2
SLC16A14,lowest,False,False,UNKNOWN,1
U2AF1,lowest,False,False,UNKNOWN,2
CETN3,lowest,False,False,UNKNOWN,1
GRSF1,lowest,False,False,UNKNOWN,4
MXRA8,lowest,False,False,UNKNOWN,1
ANK2,low,False,True,ANTI,3
ENTPD3,lowest,False,False,UNKNOWN,1
CYC1,low,False,False,UNKNOWN,2
LGI4,lowest,False,False,UNKNOWN,1
GPCPD1,lowest,False,False,UNKNOWN,1
OPN3,low,False,False,UNKNOWN,5
PPM1H,lowest,False,False,UNKNOWN,1
BECN1,high,True,False,PRO,1
MAPRE2,lowest,False,False,UNKNOWN,1
MRPS25,lowest,False,False,UNKNOWN,1
BAD,lowest,False,False,UNKNOWN,2
SNAI2,moderate,True,True,PRO,7
SLC2A13,lowest,False,False,UNKNOWN,1
SRSF5,lowest,False,False,UNKNOWN,1
HSD17B7,lowest,False,False,UNKNOWN,2
COL1A1,low,False,True,ANTI,5
COL1A2,low,False,False,UNKNOWN,3
COL3A1,low,False,True,ANTI,4
COL4A1,lowest,False,False,UNKNOWN,3
COL4A2,lowest,False,False,UNKNOWN,2
COL4A3,lowest,False,False,UNKNOWN,2
COL4A4,lowest,False,False,UNKNOWN,2
COL4A5,lowest,False,False,UNKNOWN,2
COL4A6,lowest,False,False,UNKNOWN,2
PDHB,low,False,True,ANTI,4
DGKZ,moderate,True,False,PRO,2
FJX1,lowest,False,False,UNKNOWN,1
UROS,lowest,False,False,UNKNOWN,2
CHSY1,low,False,True,ANTI,3
MZF1,lowest,False,False,UNKNOWN,1
RGL1,lowest,False,False,UNKNOWN,1
NIPBL,lowest,False,False,UNKNOWN,3
EGFL6,lowest,False,False,UNKNOWN,2
SNAI1,moderate,True,True,PRO,5
SMOC1,moderate,True,False,PRO,4
CSNK2A1,low,False,False,UNKNOWN,3
CXCL8,lowest,False,False,UNKNOWN,2
MTHFR,low,False,False,UNKNOWN,3
MTHFD1,low,False,False,UNKNOWN,2
MTRR,lowest,False,False,UNKNOWN,2
MTR,lowest,False,False,UNKNOWN,1
FOLR1,lowest,False,False,UNKNOWN,1
FOLR2,lowest,False,False,UNKNOWN,2
FOLH1,lowest,False,False,UNKNOWN,2
FOLH1B,lowest,False,False,UNKNOWN,1
SLC19A1,low,False,True,ANTI,2
HBA1,lowest,False,False,UNKNOWN,1
HBA2,lowest,False,False,UNKNOWN,1
HBB,lowest,False,False,UNKNOWN,2
AHSP,lowest,False,False,UNKNOWN,1
SUB1,low,False,False,UNKNOWN,4
PCSK9,lowest,False,False,UNKNOWN,1
WNT4,lowest,False,False,UNKNOWN,2
CRP,lowest,False,False,UNKNOWN,1
CYBB,low,False,False,UNKNOWN,5
CYB5R3,high,True,True,PRO,6
CYGB,lowest,False,False,UNKNOWN,3
NOS3,low,False,True,ANTI,3
NGB,low,False,False,UNKNOWN,5
DHFR,moderate,True,False,PRO,4
TYMS,moderate,True,False,PRO,3
CSF2,low,False,False,UNKNOWN,2
TGM2,low,False,False,UNKNOWN,4
LOX,low,False,False,UNKNOWN,3
FBN1,low,False,True,ANTI,4
FBN2,lowest,False,False,UNKNOWN,1
FBLN1,lowest,False,False,UNKNOWN,1
EFEMP2,lowest,False,False,UNKNOWN,1
FBLN5,lowest,False,False,UNKNOWN,1
MMP1,lowest,False,False,UNKNOWN,1
MMP3,lowest,False,False,UNKNOWN,2
WNT5B,lowest,False,False,UNKNOWN,2
WNT2,lowest,False,False,UNKNOWN,2
WNT5A,lowest,False,False,UNKNOWN,2
WNT2B,lowest,False,False,UNKNOWN,2
WNT11,lowest,False,False,UNKNOWN,2
WNT7B,low,False,False,UNKNOWN,4
WNT7A,lowest,False,False,UNKNOWN,1
WNT9A,lowest,False,False,UNKNOWN,1
WNT10A,lowest,False,False,UNKNOWN,1
WNT16,low,False,False,UNKNOWN,3
WNT6,lowest,False,False,UNKNOWN,2
WNT1,lowest,False,False,UNKNOWN,1
WNT3,lowest,False,False,UNKNOWN,2
WNT3A,lowest,False,False,UNKNOWN,4
DVL2,lowest,False,False,UNKNOWN,1
FZD2,lowest,False,False,UNKNOWN,1
FZD3,lowest,False,False,UNKNOWN,1
LEF1,lowest,False,False,UNKNOWN,2
SFRP1,lowest,False,False,UNKNOWN,1
FRZB,lowest,False,False,UNKNOWN,1
CCND1,lowest,False,False,UNKNOWN,1
CCND2,lowest,False,False,UNKNOWN,2
DIXDC1,lowest,False,False,UNKNOWN,1
PORCN,lowest,False,False,UNKNOWN,1
FZD8,lowest,False,False,UNKNOWN,1
SFRP2,lowest,False,False,UNKNOWN,1
APC,lowest,False,False,UNKNOWN,1
BTRC,lowest,False,False,UNKNOWN,1
WIF1,lowest,False,False,UNKNOWN,1
CCN4,lowest,False,False,UNKNOWN,1
TLE1,lowest,False,False,UNKNOWN,1
SIRT2,moderate,True,True,PRO,8
SPP1,lowest,False,False,UNKNOWN,3
MMP9,low,False,False,UNKNOWN,4
MMP2,low,False,False,UNKNOWN,2
MMP7,lowest,False,False,UNKNOWN,2
MMP12,lowest,False,False,UNKNOWN,2
MMP13,lowest,False,False,UNKNOWN,2
MMP14,low,False,True,ANTI,4
MMP16,lowest,False,False,UNKNOWN,1
MMP17,lowest,False,False,UNKNOWN,1
BIRC5,lowest,False,False,UNKNOWN,1
MARK1,lowest,False,False,UNKNOWN,1
MRPL15,lowest,False,False,UNKNOWN,1
MKKS,lowest,False,False,UNKNOWN,1
MICOS13,lowest,False,False,UNKNOWN,1
TGFBR3,lowest,False,False,UNKNOWN,1
CYB561,lowest,False,False,UNKNOWN,1
HCCS,lowest,False,False,UNKNOWN,1
DDX24,lowest,False,False,UNKNOWN,1
MRPS33,lowest,False,False,UNKNOWN,1
TIMP1,lowest,False,False,UNKNOWN,1
VLDLR,lowest,False,False,UNKNOWN,1
ACOT8,lowest,False,False,UNKNOWN,1
CAMTA1,lowest,False,False,UNKNOWN,1
IL33,lowest,False,False,UNKNOWN,1
INHBB,lowest,False,False,UNKNOWN,1
COX4I1,lowest,False,False,UNKNOWN,1
PTPN3,lowest,False,False,UNKNOWN,1
LPP,lowest,False,False,UNKNOWN,1
PPP3R1,lowest,False,False,UNKNOWN,1
SNED1,lowest,False,False,UNKNOWN,1
IMMT,lowest,False,False,UNKNOWN,1
ARPC5L,lowest,False,False,UNKNOWN,1
CFLAR,lowest,False,False,UNKNOWN,1
NECAB3,lowest,False,False,UNKNOWN,1
AUH,lowest,False,False,UNKNOWN,1
USP54,lowest,False,False,UNKNOWN,1
ANP32B,lowest,False,False,UNKNOWN,1
SERTAD2,lowest,False,False,UNKNOWN,1
ST8SIA5,lowest,False,False,UNKNOWN,1
ALDH4A1,lowest,False,False,UNKNOWN,1
EPC1,lowest,False,False,UNKNOWN,1
ZHX2,lowest,False,False,UNKNOWN,1
USE1,lowest,False,False,UNKNOWN,1
RTCA,lowest,False,False,UNKNOWN,1
DAZAP1,lowest,False,False,UNKNOWN,1
PTGR1,lowest,False,False,UNKNOWN,1
TPD52L2,lowest,False,False,UNKNOWN,1
GOT2,lowest,False,False,UNKNOWN,1
PLIN3,lowest,False,False,UNKNOWN,1
RNF114,lowest,False,False,UNKNOWN,1
RIN3,lowest,False,False,UNKNOWN,1
TRIB2,lowest,False,False,UNKNOWN,1
WDR77,lowest,False,False,UNKNOWN,1
TSPAN5,lowest,False,False,UNKNOWN,1
NDUFA9,lowest,False,False,UNKNOWN,1
UPF3A,lowest,False,False,UNKNOWN,1
DYNC1I1,lowest,False,False,UNKNOWN,1
MRPS12,lowest,False,False,UNKNOWN,1
RAP2A,lowest,False,False,UNKNOWN,1
MOCS2,lowest,False,False,UNKNOWN,1
BCS1L,lowest,False,False,UNKNOWN,1
CEP350,lowest,False,False,UNKNOWN,1
AKAP7,lowest,False,False,UNKNOWN,1
DLAT,lowest,False,False,UNKNOWN,1
RING1,lowest,False,False,UNKNOWN,1
LST1,lowest,False,False,UNKNOWN,1
STK25,lowest,False,False,UNKNOWN,1
ITPR2,lowest,False,False,UNKNOWN,1
PANK4,lowest,False,False,UNKNOWN,1
RBPJ,lowest,False,False,UNKNOWN,1
ISCA1,lowest,False,False,UNKNOWN,1
NDUFS2,lowest,False,False,UNKNOWN,1
SNRNP70,lowest,False,False,UNKNOWN,1
AVL9,lowest,False,False,UNKNOWN,1
CARHSP1,lowest,False,False,UNKNOWN,1
UQCRC1,lowest,False,False,UNKNOWN,1
SF3B2,lowest,False,False,UNKNOWN,1
FANCG,lowest,False,False,UNKNOWN,1
SLC25A11,lowest,False,False,UNKNOWN,1
NDC1,lowest,False,False,UNKNOWN,1
NDUFV3,lowest,False,False,UNKNOWN,1
POLR3K,lowest,False,False,UNKNOWN,1
IGF2R,lowest,False,False,UNKNOWN,1
PMP22,lowest,False,False,UNKNOWN,1
NTMT1,lowest,False,False,UNKNOWN,1
MTMR2,lowest,False,False,UNKNOWN,1
CMAS,lowest,False,False,UNKNOWN,1
AKAP13,lowest,False,False,UNKNOWN,1
YAP1,moderate,True,True,PRO,3
C3,low,False,False,UNKNOWN,2
ITGA2,lowest,False,False,UNKNOWN,1
MYOF,lowest,False,False,UNKNOWN,1
RPS6KC1,lowest,False,False,UNKNOWN,1
UQCRB,lowest,False,False,UNKNOWN,1
RYR1,lowest,False,False,UNKNOWN,1
BAZ2A,lowest,False,False,UNKNOWN,3
ROGDI,lowest,False,False,UNKNOWN,1
LGALS1,lowest,False,False,UNKNOWN,1
MOSPD1,lowest,False,False,UNKNOWN,1
MRPL35,lowest,False,False,UNKNOWN,1
SUCLA2,lowest,False,False,UNKNOWN,1
HSPA2,lowest,False,False,UNKNOWN,1
SPATS2L,lowest,False,False,UNKNOWN,1
DNM1L,lowest,False,False,UNKNOWN,1
WDR12,lowest,False,False,UNKNOWN,1
GLRX,low,False,False,UNKNOWN,2
COPS5,lowest,False,False,UNKNOWN,1
FKBP5,lowest,False,False,UNKNOWN,1
CADM2,lowest,False,False,UNKNOWN,1
DDX11,lowest,False,False,UNKNOWN,1
PANK3,lowest,False,False,UNKNOWN,1
COX7A2,lowest,False,False,UNKNOWN,1
SEL1L3,lowest,False,False,UNKNOWN,1
FAM210A,lowest,False,False,UNKNOWN,1
TTC4,lowest,False,False,UNKNOWN,1
STK24,lowest,False,False,UNKNOWN,1
CYTH1,lowest,False,False,UNKNOWN,1
RBM39,lowest,False,False,UNKNOWN,1
STAG2,lowest,False,False,UNKNOWN,1
AP2B1,lowest,False,False,UNKNOWN,1
ERBB3,lowest,False,False,UNKNOWN,1
NNT,lowest,False,False,UNKNOWN,1
NKTR,lowest,False,False,UNKNOWN,1
KDM6B,lowest,False,False,UNKNOWN,1
ATG5,high,True,False,PRO,3
SOCS3,lowest,False,False,UNKNOWN,2
LYPLA1,lowest,False,False,UNKNOWN,1
CXXC1,lowest,False,False,UNKNOWN,1
GDE1,lowest,False,False,UNKNOWN,1
AKT3,moderate,True,True,PRO,4
NUMA1,lowest,False,False,UNKNOWN,1
CPSF7,lowest,False,False,UNKNOWN,1
RAP1B,lowest,False,False,UNKNOWN,1
CCNH,lowest,False,False,UNKNOWN,1
UXS1,lowest,False,False,UNKNOWN,1
GNPTG,lowest,False,False,UNKNOWN,1
PSRC1,lowest,False,False,UNKNOWN,1
TLN2,lowest,False,False,UNKNOWN,1
GNPNAT1,lowest,False,False,UNKNOWN,1
MAP2K4,lowest,False,False,UNKNOWN,1
ZBTB8OS,lowest,False,False,UNKNOWN,1
PRKAG1,lowest,False,False,UNKNOWN,1
SGPP1,lowest,False,False,UNKNOWN,1
ABCE1,lowest,False,False,UNKNOWN,1
IQGAP1,lowest,False,False,UNKNOWN,1
NFATC3,lowest,False,False,UNKNOWN,1
ADAMTS1,lowest,False,False,UNKNOWN,1
LTBP1,lowest,False,False,UNKNOWN,1
VAMP4,lowest,False,False,UNKNOWN,1
SDC2,lowest,False,False,UNKNOWN,1
PCNT,lowest,False,False,UNKNOWN,1
SCPEP1,lowest,False,False,UNKNOWN,1
LAMTOR2,lowest,False,False,UNKNOWN,1
AKT1S1,low,False,False,UNKNOWN,2
PRR5L,low,False,False,UNKNOWN,2
RPTOR,lowest,False,False,UNKNOWN,2
RHOA,low,False,False,UNKNOWN,2
EIF4EBP1,low,False,False,UNKNOWN,2
MMP20,lowest,False,False,UNKNOWN,1
MMP25,lowest,False,False,UNKNOWN,1
MMP27,lowest,False,False,UNKNOWN,1
TIMP2,lowest,False,False,UNKNOWN,2
ACAN,lowest,False,False,UNKNOWN,1
SMOC2,moderate,True,False,PRO,3
SIRT4,moderate,True,True,MIXED,9
SIRT5,low,False,False,UNKNOWN,4
AGER,low,False,False,UNKNOWN,6
GLO1,moderate,True,True,MIXED,6
NRIP1,high,True,False,PRO,4
TMPRSS2,lowest,False,False,UNKNOWN,2
VHL,moderate,True,False,PRO,3
WNT10B,lowest,False,False,UNKNOWN,1
WNT9B,lowest,False,False,UNKNOWN,3
PAWR,high,True,True,ANTI,4
C9ORF85,lowest,False,False,UNKNOWN,1
JMJD1A,lowest,False,False,UNKNOWN,1
DDR1,lowest,False,False,UNKNOWN,1
ALOX12,lowest,False,False,UNKNOWN,1
PTGER2,lowest,False,False,UNKNOWN,1
MGAT5,low,False,True,ANTI,3
NR2F2,lowest,False,False,UNKNOWN,1
WFS1,lowest,False,False,UNKNOWN,1
FLJ22555,lowest,False,False,UNKNOWN,1
DKK3,lowest,False,False,UNKNOWN,1
LAMA3,lowest,False,False,UNKNOWN,1
PTPRK,lowest,False,False,UNKNOWN,1
NOX4,lowest,False,False,UNKNOWN,4
COA1,lowest,False,False,UNKNOWN,1
CXCL16,lowest,False,False,UNKNOWN,1
PDLIM5,lowest,False,False,UNKNOWN,1
USP10,lowest,False,False,UNKNOWN,1
CA3,lowest,False,False,UNKNOWN,1
CYFIP1,lowest,False,False,UNKNOWN,1
NHLRC1,lowest,False,False,UNKNOWN,1
RPL31,lowest,False,False,UNKNOWN,1
DCHS1,lowest,False,False,UNKNOWN,1
EIF3M,lowest,False,False,UNKNOWN,1
BIK,lowest,False,False,UNKNOWN,1
ARHGEF18,lowest,False,False,UNKNOWN,1
MGP,lowest,False,False,UNKNOWN,1
FXN,moderate,True,True,PRO,4
NDUFS5,lowest,False,False,UNKNOWN,1
CRADD,lowest,False,False,UNKNOWN,1
MAPKAP1,lowest,False,False,UNKNOWN,1
C10ORF35,lowest,False,False,UNKNOWN,1
